time(us),amplitude
491536, 0.29
492292, 0.38
493052, 0.52
493812, 0.65
494564, 0.81
495324, 1.00
496088, 1.11
496852, 1.18
497612, 1.22
498380, 1.21
499144, 1.17
499908, 1.10
500668, 1.01
501428, 0.87
502188, 0.74
502948, 0.57
503708, 0.39
504468, 0.28
505228, 0.21
505988, 0.19
506732, 0.19
507500, 0.23
508260, 0.29
509012, 0.40
509772, 0.53
510532, 0.67
511292, 0.84
512052, 1.02
512804, 1.12
513572, 1.19
514332, 1.21
515096, 1.21
515860, 1.17
516628, 1.10
517392, 0.99
518156, 0.86
518908, 0.72
519668, 0.55
520428, 0.38
521180, 0.27
521940, 0.21
522700, 0.19
523460, 0.19
524212, 0.24
524972, 0.30
525732, 0.41
526492, 0.54
527244, 0.68
528004, 0.86
528764, 1.03
529516, 1.13
530276, 1.19
531044, 1.21
531808, 1.21
532572, 1.16
533332, 1.09
534092, 0.98
534852, 0.84
535604, 0.71
536364, 0.53
537124, 0.37
537884, 0.26
538644, 0.20
539396, 0.19
540156, 0.20
540916, 0.24
541660, 0.31
542436, 0.43
543196, 0.56
543956, 0.70
544716, 0.88
545476, 1.04
546236, 1.14
547000, 1.20
547756, 1.21
548524, 1.20
549284, 1.15
550048, 1.09
550804, 0.96
551564, 0.83
552324, 0.69
553068, 0.51
553836, 0.35
554596, 0.25
555356, 0.21
556116, 0.19
556876, 0.20
557636, 0.25
558396, 0.32
559156, 0.44
559900, 0.57
560668, 0.71
561428, 0.89
562172, 1.05
562940, 1.15
563704, 1.20
564464, 1.21
565228, 1.20
565996, 1.14
566760, 1.08
567516, 0.95
568260, 0.82
569028, 0.67
569788, 0.49
570548, 0.34
571308, 0.24
572068, 0.19
572828, 0.19
573588, 0.20
574332, 0.25
575100, 0.32
575864, 0.45
576620, 0.59
577372, 0.73
578132, 0.91
578892, 1.06
579644, 1.16
580404, 1.21
581172, 1.21
581936, 1.20
582700, 1.14
583460, 1.07
584220, 0.94
584980, 0.81
585748, 0.66
586500, 0.47
587260, 0.33
588024, 0.23
588780, 0.19
589540, 0.19
590300, 0.21
591060, 0.26
591820, 0.33
592588, 0.47
593348, 0.60
594108, 0.75
594868, 0.94
595628, 1.08
596388, 1.17
597152, 1.21
597916, 1.21
598684, 1.19
599448, 1.13
600212, 1.05
600964, 0.92
601724, 0.79
602484, 0.64
603244, 0.44
603996, 0.31
604764, 0.23
605524, 0.19
606268, 0.19
607036, 0.22
607804, 0.27
608564, 0.35
609324, 0.49
610068, 0.62
610836, 0.77
611596, 0.96
